strain,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Abat-PEA25-P5-02,AF3,AF3-4,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEA28-P5-02,AF3,AF3-4,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEB01-P1-04,AF1,AF1-1,carcass,swab,Klebsiella pneumoniae ssp pneumoniae 2,No,No,1,Amp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEB19-P1-02,AF1,AF1-3,carcass,swab,Enterobacter cloacae,No,No,9,AugAmpFazFotFoxPodTazAxoCep,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC07-P3-01-a,CV,CV-1,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC08-P2-01,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC09-P3-02,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC10-P4-01,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC12-P5-02,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC13-P2-01,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC14-P4-01,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEC15-P5-02,CV,CV-2,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
